6660;.2 MILES FROM HIGH HOUSE RD;SMOOTH ASPHALT;WET;DARK - LIGHTED ROADWAY;RAIN;2013-01-15 07:07:49+00:00;2013
6661;9 FEET FROM TRINITY RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLOUDY;2013-01-15 20:04:57+00:00;2013
6662;CARY;SMOOTH ASPHALT;WET;DARK - LIGHTED ROADWAY;RAIN;2013-01-16 00:41:24+00:00;2013
6665;25 FEET FROM KILDAIRE FARM RD;SMOOTH ASPHALT;WET;DAYLIGHT;CLOUDY;2013-01-16 13:59:28+00:00;2013
6667;CARY;SMOOTH ASPHALT;WET;DAYLIGHT;RAIN;2013-01-16 14:06:52+00:00;2013
6668;.20 MILES FROM PVA 1105 WALNUT ST;SMOOTH ASPHALT;WET;DAYLIGHT;CLOUDY;2013-01-16 20:27:11+00:00;2013
6669;.3 MILES FROM SW CARY PKWY;SMOOTH ASPHALT;WET;DAYLIGHT;RAIN;2013-01-16 19:47:05+00:00;2013
6679;003 MILES FROM US 1 HWY;CONCRETE;WET;DAYLIGHT;CLOUDY;2013-01-17 17:32:00+00:00;2013
6701;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-01-15 17:41:00+00:00;2013
6710;.10 MILES FROM SW CARY PKWY;SMOOTH ASPHALT;DRY;DUSK;CLEAR;2013-01-19 02:50:34+00:00;2013
6712;.1 MILES FROM PVA 2500 CARPENTER UPCHURCH RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-01-18 20:21:19+00:00;2013
6720;20 FEET FROM KILDAIRE FARM RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-01-19 19:24:04+00:00;2013
6728;337 FEET FROM N HARRISON AVE;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-01-22 14:57:56+00:00;2013
6736;0 FEET FROM S HARRISON AV;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-01-22 23:12:49+00:00;2013
6739;300 FEET FROM CORNERSTONE DR;SMOOTH ASPHALT;WET;DARK - LIGHTED ROADWAY;RAIN;2013-01-17 18:03:02+00:00;2013
6740;30 FEET FROM US-64;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-01-22 22:58:56+00:00;2013
6742;CARY;SMOOTH ASPHALT;DRY;DAWN;CLEAR;2013-01-23 15:39:00+00:00;2013
6744;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-01-23 23:52:30+00:00;2013
6746;80 FEET FROM KILDAIRE FARM RD;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-01-24 02:11:02+00:00;2013
6755;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-01-24 15:50:00+00:00;2013
6756;200 FEET FROM TOWNE VILLAGE DR;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-01-24 20:41:45+00:00;2013
6757;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-01-19 02:51:28+00:00;2013
6758;200 FEET FROM 2310 WALNUT ST;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-01-24 22:42:47+00:00;2013
6760;.3 MILES FROM GREEN HOPE SCHOOL RD;SMOOTH ASPHALT;SLUSH;DAYLIGHT;FREEZING RAIN;2013-01-25 17:28:00+00:00;2013
6762;480 FEET FROM GREEN HOPE SCHOOL ROAD;SMOOTH ASPHALT;SLUSH;DAYLIGHT;FREEZING RAIN;2013-01-25 17:20:00+00:00;2013
6769;CARY;;;;CLOUDY;2013-01-20 18:38:29+00:00;2013
6773;300 FEET FROM CHAPEL HILL RD;SMOOTH ASPHALT;ICE;DAYLIGHT;FREEZING RAIN;2013-01-25 17:28:00+00:00;2013
6778;25 FEET FROM NOTTINGHAM DR;COARSE ASPHALT;ICE;DAYLIGHT;CLOUDY;2013-01-26 17:07:00+00:00;2013
6780;40 FEET FROM MORRISVILLE CARPENTER RD;SMOOTH ASPHALT;ICE;DAYLIGHT;CLOUDY;2013-01-26 14:56:06+00:00;2013
6797;250 FEET FROM PIERSIDE DR;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-01-27 18:27:49+00:00;2013
6800;CARY;SMOOTH ASPHALT;WET;UNKNOWN;CLOUDY;2013-01-28 18:46:10+00:00;2013
6803;400 FEET FROM 2041 WALNUT ST;CONCRETE;WET;DAYLIGHT;CLEAR;2013-01-26 14:04:18+00:00;2013
6804;400 FEET FROM 1805 WALNUT ST;COARSE ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-01-29 03:29:00+00:00;2013
6807;50 FEET FROM NC 55 HWY;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-01-23 03:54:00+00:00;2013
6808;20 FEET FROM TRYON ROAD;SMOOTH ASPHALT;DRY;DUSK;CLEAR;2013-01-29 22:40:45+00:00;2013
6813;10 FEET FROM NOTTINGHAM DR;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-01-27 03:32:00+00:00;2013
6818;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-01-29 13:00:01+00:00;2013
6820;0.07 MILES FROM WALNUT ST;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLOUDY;2013-01-30 22:58:20+00:00;2013
6837;.1 MILES FROM TEN TEN RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-01-31 19:32:50+00:00;2013
6838;900 FEET FROM 2370 WALNUT ST;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-01-31 22:17:45+00:00;2013
6839;200 FEET FROM NW CARY PKWY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-01-31 00:03:10+00:00;2013
6841;150 FEET FROM US 64 HWY E;SMOOTH ASPHALT;DRY;DARK - ROADWAY NOT LIGHTED;CLEAR;2013-02-01 01:38:34+00:00;2013
6842;.1 MILES FROM PVA OF 1151 TRYON VILLAGE DR;SMOOTH ASPHALT;DRY;DAWN;CLOUDY;2013-02-01 11:46:24+00:00;2013
6849;CARY;SMOOTH ASPHALT;DRY;DARK - ROADWAY NOT LIGHTED;CLEAR;2013-02-03 03:06:00+00:00;2013
6852;10 FEET FROM CHAPEL HILL RD;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-02-02 00:13:10+00:00;2013
6857;250 FEET FROM KILDAIRE FARM RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-02 22:17:06+00:00;2013
6858;100 FEET FROM BARNES ST;COARSE ASPHALT;DRY;DARK - ROADWAY NOT LIGHTED;CLEAR;2013-02-02 05:49:00+00:00;2013
6859;30 FEET FROM KILDAIRE FARM RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-01 20:54:22+00:00;2013
6861;75 FEET FROM US 64 HWY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-02 01:16:32+00:00;2013
6862;45 FEET FROM CAMDEN YARDS WAY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-02 15:03:00+00:00;2013
6863;400 FEET FROM 2430 WALNUT ST;SMOOTH ASPHALT;DRY;DAYLIGHT;CLOUDY;2013-02-03 16:30:00+00:00;2013
6866;50 FEET FROM 102 FAIRGROVE WAY;CONCRETE;DRY;DAYLIGHT;CLEAR;2013-02-04 16:33:00+00:00;2013
6867;.10 MILES FROM CANYON RUN;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-04 14:00:04+00:00;2013
6871;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-04 12:13:09+00:00;2013
6872;5 FEET FROM PVA OF 6770 MCCRIMMON PKWY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-05 12:12:20+00:00;2013
6874;499 FEET FROM 1105 WALNUT ST;COARSE ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-05 15:54:00+00:00;2013
6877;15 FEET FROM DRY AVE;CONCRETE;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-02-06 07:27:39+00:00;2013
6880;75 FEET FROM 4101 NC 55 HWY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-06 01:29:59+00:00;2013
6889;CARY;;;;CLOUDY;2013-02-06 18:31:43+00:00;2013
6890;300 FEET FROM 10000 GREEN LEVEL CHURCH RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLOUDY;2013-02-06 18:39:44+00:00;2013
6896;250 FEET FROM US 64 HWY;SMOOTH ASPHALT;DRY;DARK - ROADWAY NOT LIGHTED;CLEAR;2013-02-06 23:17:35+00:00;2013
6922;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-08 21:38:04+00:00;2013
6925;.2 MILES FROM 1105 WALNUT ST;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-10 04:26:00+00:00;2013
6926;20 FEET FROM 1260 NW MAYNARD RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-09 16:45:00+00:00;2013
6943;100 FEET FROM 1931 HIGH HOUSE RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-12 18:03:54+00:00;2013
6947;.02 MILES FROM N HARRISON AVE;SMOOTH ASPHALT;WET;DAWN;RAIN;2013-02-13 12:25:52+00:00;2013
6952;670 FEET FROM PARKMAN GRANT DR;COARSE ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-04 17:18:00+00:00;2013
6957;.10 MILES FROM SE MAYNARD RD;SMOOTH ASPHALT;WET;DARK - LIGHTED ROADWAY;CLOUDY;2013-02-13 23:22:04+00:00;2013
6963;20 FEET FROM OWL TOWN RD20;SMOOTH ASPHALT;WET;DAYLIGHT;RAIN;2013-02-13 18:04:46+00:00;2013
6965;10 FEET FROM WRENN DR;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-14 12:31:08+00:00;2013
6974;30 FEET FROM MEETING ST;SMOOTH ASPHALT;DRY;DAYLIGHT;CLOUDY;2013-02-14 19:07:06+00:00;2013
6978;75 FEET FROM 2234 WALNUT ST;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-15 17:17:00+00:00;2013
6981;CARY;SMOOTH ASPHALT;DRY;DARK - ROADWAY NOT LIGHTED;CLEAR;2013-02-15 23:48:01+00:00;2013
6983;500 FEET FROM 3511 KILDAIRE FARM RD;SMOOTH ASPHALT;;DAYLIGHT;RAIN;2013-02-16 12:54:59+00:00;2013
6985;367 FEET FROM PVA 657 CARY TOWNE BLVD;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-02-16 01:28:29+00:00;2013
6987;450 FEET FROM 2350 WALNUT ST;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-15 20:35:33+00:00;2013
6992;50 FEET FROM 2310 WWALNUT ST;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-14 19:40:05+00:00;2013
6996;0 FEET FROM COZY OAKS AVE;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-02-16 01:32:05+00:00;2013
7001;200 FEET FROM PVA 1931 HIGH HOUSE RD;SMOOTH ASPHALT;WET;DAYLIGHT;SNOW;2013-02-16 16:19:00+00:00;2013
7014;.25 MILES FROM 1105 WALNUT ST;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-18 20:54:05+00:00;2013
7018;.55 MILES FROM PVA 930 REEDY CREEK RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-11 19:04:57+00:00;2013
7021;25 FEET FROM KILDAIRE FARM RD;SMOOTH ASPHALT;WET;DAYLIGHT;RAIN;2013-02-19 17:27:00+00:00;2013
7022;20 FEET FROM US 1;SMOOTH ASPHALT;WET;DAYLIGHT;RAIN;2013-02-19 19:51:37+00:00;2013
7030;.26 MILES FROM CROSSROADS BLVD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-15 23:03:46+00:00;2013
7037;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-20 20:52:17+00:00;2013
7038;700 FEET FROM FOREST GREEN DR;GRAVEL;WET;DAYLIGHT;CLEAR;2013-02-21 01:23:03+00:00;2013
7040;20 FEET FROM MEETING ST;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-20 23:27:26+00:00;2013
7044;170 FEET FROM CARY GLEN BLVD;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-02-21 10:05:32+00:00;2013
7048;CARY;SMOOTH ASPHALT;DRY;;CLEAR;2013-02-21 15:45:00+00:00;2013
7049;CARY;;;;CLOUDY;2013-02-15 19:11:52+00:00;2013
7058;1100 FEET FROM CARPENTER UPCHURCH RD;SMOOTH ASPHALT;WET;DAYLIGHT;CLOUDY;2013-02-22 15:53:00+00:00;2013
7060;.10 MILES FROM JAMES JACKSON AVE;SMOOTH ASPHALT;WET;DAYLIGHT;CLOUDY;2013-02-22 18:41:55+00:00;2013
7069;.14 MILES FROM GREEN LEVEL CHURCH RD;SMOOTH ASPHALT;WET;DARK - ROADWAY NOT LIGHTED;CLOUDY;2013-02-24 05:06:00+00:00;2013
7070;10 FEET FROM US 1;SMOOTH ASPHALT;WET;DAYLIGHT;CLOUDY;2013-02-23 19:45:40+00:00;2013
7071;250 FEET FROM PVA 3655 SW CARY PKWY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-24 22:02:49+00:00;2013
7077;178 FEET FROM CHAPEL HILL RD;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-02-21 22:21:05+00:00;2013
7086;CARY;SMOOTH ASPHALT;WET;DAYLIGHT;RAIN;2013-02-23 19:45:40+00:00;2013
7087;10 FEET FROM KINGSTON RIDGE RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-25 15:06:00+00:00;2013
7091;15 FEET FROM SPRUCE ST;SMOOTH ASPHALT;WET;DAYLIGHT;CLOUDY;2013-02-26 13:11:51+00:00;2013
7093;75 FEET FROM 151 SE CARY PKWY;SMOOTH ASPHALT;WET;DAYLIGHT;RAIN;2013-02-26 17:12:00+00:00;2013
7094;350 FEET FROM E CHATHAM ST;SMOOTH ASPHALT;WET;DARK - LIGHTED ROADWAY;CLEAR;2013-02-27 01:14:41+00:00;2013
7099;600 FEET FROM US 1 HWY;SMOOTH ASPHALT;WET;DAYLIGHT;RAIN;2013-02-26 18:03:42+00:00;2013
7103;0 FEET FROM CHAPELL HILL RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-27 21:16:02+00:00;2013
7117;0 FEET FROM CARPENTER UPCHURCH RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-28 13:56:38+00:00;2013
7121;.10 MILES FROM E CHATHAM ST;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-03-04 03:27:00+00:00;2013
7122;.1 MILES FROM MAYNARD RD;COARSE ASPHALT;DRY;DUSK;CLEAR;2013-03-04 03:43:00+00:00;2013
7124;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLOUDY;2013-03-01 22:09:58+00:00;2013
7129;400 FEET FROM CROSSROADS BLVD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-02 22:17:29+00:00;2013
7135;25 FEET FROM PVA OF 100 CRESCENT COMMONS DR;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-01 13:09:40+00:00;2013
7139;40 FEET FROM 1117 WALNUT ST;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-01 23:38:34+00:00;2013
7140;50 FEET FROM PVA OF 1801 N. HARRISON AVE;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-02 16:54:00+00:00;2013
7141;20 FEET FROM TRINITY RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-02 17:43:00+00:00;2013
7143;.25 MILES FROM US 1 HWY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-01 20:38:44+00:00;2013
7145;.2 MILES FROM PVA 801 HIGH HOUSE RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-02 17:04:00+00:00;2013
7147;33 FEET FROM 638 WALNUT ST;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-01 16:23:00+00:00;2013
7149;CARY;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-02-28 17:15:00+00:00;2013
7155;350 FEET FROM 2817 JONES FRANKLIN RD;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-03-05 00:42:03+00:00;2013
7167;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-04 22:09:51+00:00;2013
7168;.25 MILES FROM PVA OF 958 HIGH HOUSE RD.;GROOVED CONCRETE;WET;DAYLIGHT;RAIN;2013-03-05 17:33:00+00:00;2013
7170;0 FEET FROM EVANS RD;SMOOTH ASPHALT;WET;DAYLIGHT;RAIN;2013-03-05 19:59:55+00:00;2013
7175;550 FEET FROM PENNY RD;SMOOTH ASPHALT;WET;DAYLIGHT;RAIN;2013-03-05 22:37:41+00:00;2013
7182;25 FEET FROM KILDAIRE FARM RD;SMOOTH ASPHALT;WET;DUSK;CLOUDY;2013-03-05 22:48:26+00:00;2013
7197;100 FEET FROM MORRISVILLE CARPENTER RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-07 11:45:42+00:00;2013
7205;0 FEET FROM NW CARY PKWY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-08 20:27:17+00:00;2013
7214;499 FEET FROM 1700 REGENCY PKWY;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-03-06 05:00:00+00:00;2013
7215;250 FEET FROM US 1 HWY OFF RAMP;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-08 22:01:43+00:00;2013
7220;CARY;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-03-08 23:21:31+00:00;2013
7222;75 FEET FROM OLD APEX RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-27 17:29:00+00:00;2013
7238;180 FEET FROM CAITBOO AVE;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-03-12 01:49:23+00:00;2013
7250;300 FEET FROM 2011 WALNUT ST;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-08 19:40:57+00:00;2013
7251;25 FEET FROM 1 N RAMP;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-13 12:27:21+00:00;2013
7254;.10 MILES FROM US 64;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-13 13:14:04+00:00;2013
7257;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLOUDY;2013-03-13 18:37:37+00:00;2013
7264;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-13 15:17:00+00:00;2013
7271;10 FEET FROM US 1 SOUTH OFF RAMP;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-15 01:52:18+00:00;2013
7279;300 FEET FROM LARKWOOD LN;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-15 23:53:39+00:00;2013
7286;494 FEET FROM 1415;COARSE ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-16 13:10:11+00:00;2013
7288;.10 MILES FROM SORRELL ST;SMOOTH ASPHALT;DRY;DARK - ROADWAY NOT LIGHTED;CLEAR;2013-03-17 03:10:00+00:00;2013
7290;1 MILES FROM US 1 HWY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLOUDY;2013-03-16 17:13:52+00:00;2013
7302;174 FEET FROM SR 1300;COARSE ASPHALT;DRY;DAYLIGHT;CLOUDY;2013-03-17 19:29:45+00:00;2013
7304;CARY;SMOOTH ASPHALT;WET;DAYLIGHT;CLOUDY;2013-03-18 13:17:27+00:00;2013
7306;499 FEET FROM 2031 WALNUT ST;SMOOTH ASPHALT;WET;DAYLIGHT;RAIN;2013-03-18 13:48:35+00:00;2013
7310;25 FEET FROM OLD APEX RD;SMOOTH ASPHALT;WET;DAYLIGHT;RAIN;2013-03-18 15:03:00+00:00;2013
7313;200 FEET FROM 1313;OTHER *;DRY;DAYLIGHT;CLOUDY;2013-03-18 19:12:01+00:00;2013
7318;500 FEET FROM HIGH HOUSE RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-15 23:10:39+00:00;2013
7321;50 FEET FROM PVA OF 530 NEW WAVERLY PL;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-19 17:32:22+00:00;2013
7326;10 FEET FROM NW CARY PKWY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-19 17:33:07+00:00;2013
7331;207 FEET FROM PVA 7718 CHAPEL HILL RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-20 23:29:18+00:00;2013
7334;CARY;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-03-20 23:21:44+00:00;2013
7337;25 FEET FROM 1205 NE MAYNARD RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-21 15:21:00+00:00;2013
7339;30 FEET FROM 6911 CARPENTER FIRE STATION RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-21 02:46:00+00:00;2013
7356;50 FEET FROM W CHATHAM ST;;;;CLOUDY;2013-03-23 02:18:00+00:00;2013
7366;100 FEET FROM US 64 OFF RAMP;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-03-22 01:02:53+00:00;2013
7367;20 FEET FROM 137 WESTON PKWY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-22 21:42:54+00:00;2013
7369;100 FEET FROM PVA 100 KEMPWOOD DR;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-22 21:10:26+00:00;2013
7370;.2 MILES FROM BRIDGEGATE DR;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-03-21 04:35:00+00:00;2013
7374;440 FEET FROM 237 CROSSROADS BLVD;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-03-24 03:15:00+00:00;2013
7377;120 FEET FROM HIGH HOUSE RD;SMOOTH ASPHALT;WET;DAYLIGHT;RAIN;2013-03-25 12:22:32+00:00;2013
7382;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-25 12:47:00+00:00;2013
7384;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLOUDY;2013-03-25 15:28:00+00:00;2013
7392;0.02 MILES FROM WALNUT ST;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-26 16:08:00+00:00;2013
7396;400 FEET FROM 226 CROSSROADS BLVD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-23 01:11:28+00:00;2013
7403;.5 MILES FROM MCCRIMMON PKWY;SMOOTH ASPHALT;DRY;DAWN;CLEAR;2013-03-27 12:08:21+00:00;2013
7404;.2 MILES FROM 6590 TRYON RD;SMOOTH ASPHALT;WET;DAYLIGHT;RAIN;2013-02-26 16:33:00+00:00;2013
7407;.05 MILES FROM PVA (300 ASHEVILLE AVE);SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-27 23:01:22+00:00;2013
7410;CARY;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-03-28 01:07:10+00:00;2013
7417;100 FEET FROM PVA (1100 BRISBANE WOODS WAY);SMOOTH ASPHALT;DRY;UNKNOWN;CLEAR;2013-03-29 01:07:04+00:00;2013
7437;CARY;COARSE ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-29 02:59:00+00:00;2013
7443;80 FEET FROM 1000 INNOVATION AV;SMOOTH ASPHALT;WET;DARK - LIGHTED ROADWAY;CLOUDY;2013-04-01 11:20:33+00:00;2013
7444;380 FEET FROM STABLEGATE DR;SMOOTH ASPHALT;DRY;DAYLIGHT;CLOUDY;2013-03-25 17:51:06+00:00;2013
7445;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-04-01 15:12:00+00:00;2013
7447;100 FEET FROM 1299 KILDAIRE FARM RD;SMOOTH ASPHALT;WET;DAYLIGHT;CLOUDY;2013-04-01 12:03:55+00:00;2013
